Unnamed: 0,america,london,paris,cia,fbi,abdul,martin
CIA_01,0,0,0,0,0,0,0
CIA_02,0,1,0,0,0,0,0
CIA_03,1,0,0,0,0,0,0
CIA_04,0,0,0,0,0,0,0
CIA_05,0,0,0,0,0,0,0
CIA_06,0,0,0,0,0,0,0
CIA_07,1,0,2,0,0,0,0
CIA_08,0,0,0,0,0,0,0
CIA_09,0,0,0,0,0,0,0
CIA_10,0,4,0,0,0,0,0
CIA_11,0,0,0,0,0,0,0
CIA_12,0,0,0,0,0,0,0
CIA_13,0,0,0,0,0,0,0
CIA_14,1,0,0,0,0,0,0
CIA_15,0,0,0,0,0,0,0
CIA_16,0,0,0,0,0,0,0
CIA_17,0,0,0,0,0,0,0
CIA_18,0,0,0,0,0,0,0
CIA_19,0,0,0,1,0,0,0
CIA_20,0,0,0,0,0,0,0
CIA_21,0,0,0,0,0,0,0
CIA_22,0,0,0,0,0,0,0
CIA_23,0,0,0,0,0,0,0
CIA_24,0,0,0,0,0,0,0
CIA_25,0,0,0,0,0,0,0
CIA_26,0,1,0,0,0,0,0
CIA_27,0,0,0,0,0,0,0
CIA_28,0,0,0,0,0,0,0
CIA_29,0,0,0,0,0,0,0
CIA_30,0,0,0,2,0,0,0
CIA_31,1,0,0,0,0,0,0
CIA_32,0,0,0,1,0,0,0
CIA_33,0,0,0,0,1,2,0
CIA_34,0,0,0,0,0,0,0
CIA_35,0,0,0,0,0,0,0
CIA_36,0,0,0,0,0,0,0
CIA_37,0,0,0,1,0,1,0
CIA_38,0,0,0,0,0,0,0
CIA_39,0,0,0,0,0,0,0
CIA_40,0,0,0,0,0,0,0
CIA_41,0,0,0,1,0,0,0
CIA_42,0,0,0,0,0,0,0
CIA_43,0,0,0,0,0,0,0
CIA_docs.txt,4,6,2,6,1,3,0
DIA_01,0,0,0,0,0,1,0
DIA_02,0,0,0,0,0,0,0
DIA_03,0,0,0,0,0,1,0
DIA_docs.txt,0,0,0,0,0,2,0
FBI_01,0,0,2,1,0,0,0
FBI_02,0,3,0,0,0,0,0
FBI_03,0,0,0,1,0,0,0
FBI_04,0,0,0,0,0,0,0
FBI_05,0,0,0,0,0,0,0
FBI_06,0,1,0,1,2,1,0
FBI_07,0,0,2,0,0,1,0
FBI_08,0,1,0,0,0,0,0
FBI_09,0,0,0,0,1,0,0
FBI_10,0,0,0,0,0,0,0
FBI_11,1,0,0,0,4,0,0
FBI_12,0,0,0,0,1,0,0
FBI_13,1,0,0,0,0,0,0
FBI_14,0,0,0,0,2,0,0
FBI_15,3,0,0,0,0,0,0
FBI_16,0,0,1,0,0,0,0
FBI_17,0,0,0,0,0,0,0
FBI_18,0,0,0,0,1,1,0
FBI_19,0,0,0,0,1,0,0
FBI_20,0,0,0,0,1,1,0
FBI_21,0,0,0,0,0,0,0
FBI_22,0,5,0,1,0,0,0
FBI_23,0,0,0,0,3,1,0
FBI_24,0,0,2,0,0,0,0
FBI_25,0,0,0,0,2,0,0
FBI_26,0,0,0,0,1,1,0
FBI_27,0,0,0,0,0,0,0
FBI_28,0,0,0,0,1,0,0
FBI_29,0,0,0,0,0,0,0
FBI_30,0,0,0,0,0,0,0
FBI_31,0,0,0,0,1,1,0
FBI_32,0,0,0,0,0,0,0
FBI_33,0,0,0,0,0,0,0
FBI_34,0,0,0,0,0,3,0
FBI_35,0,0,0,0,0,1,0
FBI_36,0,0,0,0,0,1,0
FBI_37,0,0,0,0,0,0,0
FBI_38,0,0,0,0,0,0,0
FBI_39,0,0,0,0,0,0,0
FBI_40,0,0,0,0,0,0,0
FBI_41,0,0,0,0,1,0,0
FBI_docs.txt,5,10,7,4,22,12,0
NSA_01,0,2,2,0,0,0,0
NSA_02,0,0,0,0,0,0,0
NSA_03,0,0,2,0,0,0,0
NSA_04,0,0,0,0,0,1,0
NSA_05,0,0,0,0,0,0,0
NSA_06,0,0,0,0,0,0,0
NSA_07,0,0,0,0,0,0,0
NSA_08,0,0,0,0,0,0,0
NSA_09,0,0,0,0,0,0,0
NSA_10,0,0,2,0,0,0,0
NSA_11,0,0,0,0,0,0,0
NSA_12,0,0,0,0,0,0,0
NSA_13,0,0,0,0,0,0,0
NSA_14,0,0,0,0,0,0,0
NSA_15,0,0,0,0,0,0,0
NSA_16,0,0,0,0,0,0,1
NSA_17,0,0,0,0,0,0,0
NSA_18,0,0,0,0,0,0,0
NSA_19,0,0,0,0,0,0,0
NSA_20,0,0,0,0,0,0,0
NSA_21,0,0,0,0,0,0,0
NSA_22,0,0,0,0,0,0,0
NSA_docs.txt,0,2,6,0,0,1,1
USCBP_01,0,0,0,0,0,0,0
USCBP_02,0,0,0,0,2,0,0
USCBP_docs.txt,0,0,0,0,2,0,0
