Document,Cluster
CIA_01,1
CIA_02,1
CIA_03,1
CIA_04,1
CIA_05,1
CIA_06,1
CIA_07,1
CIA_08,1
CIA_09,1
CIA_10,1
CIA_11,1
CIA_12,1
CIA_13,1
CIA_14,1
CIA_15,1
CIA_16,1
CIA_17,1
CIA_18,1
CIA_19,1
CIA_20,1
CIA_21,1
CIA_22,1
CIA_23,1
CIA_24,1
CIA_25,1
CIA_26,1
CIA_27,1
CIA_28,1
CIA_29,1
CIA_30,1
CIA_31,1
CIA_32,1
CIA_33,1
CIA_34,1
CIA_35,1
CIA_36,1
CIA_37,1
CIA_38,1
CIA_39,1
CIA_40,1
CIA_41,1
CIA_42,1
CIA_43,1
CIA_docs.txt,0
DIA_01,1
DIA_02,1
DIA_03,1
DIA_docs.txt,2
FBI_01,1
FBI_02,1
FBI_03,1
FBI_04,1
FBI_05,1
FBI_06,1
FBI_07,1
FBI_08,1
FBI_09,1
FBI_10,1
FBI_11,1
FBI_12,1
FBI_13,1
FBI_14,1
FBI_15,1
FBI_16,1
FBI_17,1
FBI_18,1
FBI_19,1
FBI_20,1
FBI_21,1
FBI_22,1
FBI_23,1
FBI_24,1
FBI_25,1
FBI_26,1
FBI_27,1
FBI_28,1
FBI_29,1
FBI_30,1
FBI_31,1
FBI_32,1
FBI_33,1
FBI_34,1
FBI_35,1
FBI_36,1
FBI_37,1
FBI_38,1
FBI_39,1
FBI_40,1
FBI_41,1
FBI_docs.txt,3
NSA_01,1
NSA_02,1
NSA_03,1
NSA_04,1
NSA_05,1
NSA_06,1
NSA_07,1
NSA_08,1
NSA_09,1
NSA_10,1
NSA_11,1
NSA_12,1
NSA_13,1
NSA_14,1
NSA_15,1
NSA_16,1
NSA_17,1
NSA_18,1
NSA_19,1
NSA_20,1
NSA_21,1
NSA_22,1
NSA_docs.txt,4
USCBP_01,1
USCBP_02,1
USCBP_docs.txt,1
