,person,location,date,organization
CIA_01,"['Igor Kolokov', 'Kolokov', 'Kolokov', 'Kolokov']","['Cairo', 'the Middle East', 'Moscow', 'Medikat', 'Strizi', 'Kirov', 'Russia', 'Peshawar']","['29 January, 2003']",[]
CIA_02,"['David Loiseau', 'Kanjak Training Camp', 'Raeed Beandali', 'Al Khaldun', 'Fahd Khadr', 'Al-Badr']","['Toronto', 'Gizab', 'Qalat', 'London', 'Montreal']","['2000-2001', 'March 2002', '2000-2001', '26 November, 2002', '12 December, 2002', '1999-2000', '23 October, 2000']",['Detroit MI.']
CIA_03,"['Arze', 'Arze', 'Arze', 'Hector Lopez']","['Cesar Arze', 'Domingo', 'Dominican Republic', 'Havana', 'Cuba', 'Bogota', 'Columbia', 'South', 'Central America', 'Caribbean']","['1992', '23 January, 2003']",['FARC']
CIA_04,"['Jose Escalante', 'Escalante', 'Escalante']","['Calamar', 'Columbia', 'Havana', 'Columbia', 'Ecuador', 'Peru', 'Caribbean']","['3 March,', '2003', '1991']",['the National Liberation Army']
CIA_05,['Pyotr Safrygin'],"['Strizi', 'Russia', 'Lipetsk', 'Russia', 'Moscow']","['26 December, 1950']","['the Vector institute', 'Central Russia Airlines']"
CIA_06,"['Saeed Hasham', 'Hamid Qatada', 'Yasir Salman', 'Salang', 'Osama bin Laden', 'Khalid Taha', 'Spin Shaga', 'Fahd al Badawi', 'Osama bin Laden']","['Khost', 'Pakhtia province', 'Egypt']","['2002', '22 September 2002', '2001', 'July', '2000']","['Al Qaeda', 'Jorm, Taloqan', 'Kashmiri', 'University of Cairo', 'Farooq']"
CIA_07,"['Surete', 'Abdillah Zinedine', 'Rue Duhesme', 'Mehdi Rafiki', 'Rue Duhesme', 'Abu Hafs', 'Zakarya Ziyad']","['Zinedine', 'Paris', 'the Fall of 2001', 'Zinedine', 'Afghanistan', 'Pakhtia province', 'Afghanistan', 'Zinedine', 'Paris', 'Montreal', 'Canada', 'Zinedine', 'Chicago', 'Murad', 'Zinedine', 'Murad', 'America']","['2 April, 2003 the', '1997 - 2000', '1 April, 2003']","['Abu Hafs', 'the Amercan Embassy', 'Al Qaeda']"
CIA_08,"['Mohamed al Omari', 'Badawi', 'Mamdouh al Hazmi']","['Peshawar', 'Parachinar', 'Afghanistan', 'Pakistan', 'Afghanistan', 'Peshawar']","['12 January 2003', '2001', '2 January, 2003']","['Omari', 'Al Qaeda', 'Omari', 'Al Qaeda', 'Omari', 'Farooq', 'Omari', 'Farooq', 'Hasham', 'Omari', 'Omari', 'Al Qaeda']"
CIA_09,['Ramundo Ortiz'],"['Liberia', 'Panama City', 'Panama']",[],[]
CIA_10,"['Omar Mahmoud Othman', 'Omar Hanif', 'Othman', 'Heathrow', 'Hanif', 'Othman', 'Jamal al Quso']","['London', 'UK', 'Afghanistan', 'London', 'Islamabad', 'London', 'Nassau', 'Bahamas', 'Bahamas', 'Nassau', 'Freeport', 'UK', 'Yemen', 'London', 'Chicago', 'Illinois']","['a year', '1999', 'February of 1999', 'December, 1999', '1993', '1998', '1996', 'one-year', 'July 17, 1999']","['the Baker St. Mosque', 'Apple St.', 'the Seashore Hotel', 'the Freeport Star Hotel']"
CIA_11,"['Yasir Salman', 'F. Badawi', 'Safrygin']","['Peshawar', 'USA']","['15 May, 2003', 'the day before', 'May, 2002', 'March 10, 2003']","['Al Qaeda', 'Pakistani Intelligence']"
CIA_12,"['Mohamed Essabar', 'A. Atmani', 'Abdellah Atmani', 'Atmani', 'Atmani', 'Atmani']","['Casablanca', 'Afghanistan', 'Essabar', 'Casablanca', 'Casablanca', 'Casablanca', 'the east coast', 'USA', 'Caribbean']","['16 May, 2003', '18 June, 2003', '16 May, 2003']","['Al Qaeda', 'the Holland Orange Shipping Lines', 'Holland Orange']"
CIA_13,"['Riduan Sungkar', 'Omar Evertts', 'A. Somad', 'Buckthorn St', 'Y. Bafaba']","['Amsterdam', 'The Netherlands', 'Amsterdam', 'The Netherlands', 'Kuala Lumpur', 'Amsterdam', 'Chicago', 'IL', 'Los Angeles', 'Amsterdam', 'Los Angeles', 'Culver City']","['20 June, 2003', 'the mid 1990s', '1974', '23 June, 2003']","['Sungkar', 'Voorburg', 'Flaxton St.']"
CIA_14,"['Ramundo Ortiz', 'Ortiz']","['Panama City', 'Panama City', 'Central and South America', 'Havana', 'Cuba', 'Africa', 'the Middle East', 'Iran', 'Pakistan']",[],[]
CIA_15,[],"['Peshawar', 'Peshawar']","['15 July, 2003', '17 July']",['Al Qaeda']
CIA_16,"['Satam Derwish', 'Ronald']","['Windsor, Ontario', 'Canada', 'Windsor', 'Detroit', 'Michigan', 'Windsor', 'USA', 'Newark', 'NJ', 'Chicago', 'IL', 'Columbus', 'Ohio']","['1 July, 2003', '1992']","['NSA', 'RCMP', 'RCMP', 'Derwish', 'RCMP', 'Hezbollah', 'Canada Eastern Airlines', 'Canadian Eastern Airlines']"
CIA_17,"['Bugarov', 'Pyotr Safrygin', 'Boris Bugarov', 'Yury Kalinin']","['Moscow', 'Havana', 'Cuba', 'Moscow', 'Russia', 'Cuba', 'Havana']","['12 September, 2003', 'Vector', 'the years 1986 and 1990', '1990']","['NSA', 'the Vector Institute']"
CIA_18,"['Muslih Odeh', 'Muslih Odeh', 'Odeh']","['Jeddah', 'Saudi Arabia', 'Riyadh']","['15 September, 2003', '1967', '1998']","['NSA', 'Saudi Intelligence']"
CIA_19,[],"['Peshawar', 'Orgun', 'Afghanistan']","['2 January, 2003', '20 April, 2003', '12 March', '2003']","['CIA', 'Al Qaeda', 'a Mamdouh al Hazmi']"
CIA_20,"['Badawi', 'Badawi']",[],"['about 2 October, 2003']",['Chitral']
CIA_21,"['Carlos Araneda', 'Jose Escalante', 'B. Bugarov', 'Arnoldo Ramirez']","['Havana', 'Cuba', 'Havana', 'Cuba', 'San Cristobal', 'Cuba']","['19 October, 2003', '22 October, 2003', '21 October, 2003', '23 October, 2003', '18 October, 2003', '22 October, 2003']","['Casablanca', 'the Moroccan Sands Hotel']"
CIA_22,"['Ali Talib', 'Omar al Banna', 'Nadia Mahfouz', 'Ali Mishal', 'Abdel Noufal', 'Ahmad Miner', 'Yasir Salman', 'Shukri Azzam', 'Nidal Awad']","['Pakistan', 'Casablanca', 'Islamabad']","['between 19 - 24 October, 2003', 'October', 'October', 'October', 'October', 'October', 'October', 'October', 'October', 'October', '23 October']","['Moroccan Oasis Hotel', 'Abu Adil', 'Jamat Syeed', 'Moroccan Sands Hotel']"
CIA_23,"['Carlos Morales', 'Morales', 'Morales', 'Morales', 'Morales']","['Dominican Republic', 'Buenos Aires', 'Argentina']","['65', '1 November, 2003', '2000', 'February of 2001', '4 March, 1970']","['NSA', 'AutoFleet', 'Santo Domingo']"
CIA_24,"['Omar Hanif', 'Saeed Hasham']","['Nassau', 'Bahamas', 'Cairo', 'Egypt', 'Cairo', 'Cairo']","['20 December, 2003', '25 December, 2003']",['Ramses St.']
CIA_25,"['Ramundo Ortiz', 'Jose Escalante']","['Panama City', 'Havana', 'Cuba']","['27 January, 2004']","['the Canal Bank', 'the Peoples Bank', 'Peoples Bank']"
CIA_26,"['Omar Hanif', 'Hanif', 'Hanif']","['Nassau', 'Bahamas', 'Nassau', 'Miami', 'London', 'Karachi', 'Pakistan', 'Karachi', 'Nishtar Rd']","['4 February, 2004', '5 February', '7 February']",['Pakistani Intelligence']
CIA_27,"['Ali Sufaat', 'Sufaat', 'Sufaat']","['Caracas', 'Venezuela', 'Caracas', 'Cuba', 'Bahamas', 'Caribbean Cargo']",['17 February'],['the Caribbean Cargo Shipping Lines']
CIA_28,[],"['Casablanca', 'USA', 'Miami', 'Savannah', 'Norfolk', 'VA', 'USA', 'Domingo', 'Dominican Republic', 'Caracas', 'Venezuela', 'USA', 'the Dominican Republic', 'Venezuela']",[],"['Holland Orange Shipping Lines', 'Dutch Courage', 'Orange Queen', 'Orange Queen', 'Dutch Courage']"
CIA_29,['Amur'],['Blagoveshchensk'],"['15 April, 2004']",[]
CIA_30,"['Cesar Arze', 'Domingo', 'Arze', 'Carlos Morales', 'Jose Escalante', 'Arze', 'Escalante', 'Arze', 'Carlos Morales']","['Havana', 'Cuba', 'Buenos Aires', 'Argentina', 'Argentina']","['1 May, 2004', '1992 - 1993', '22 February', '2003', '15 November, 2003']","['CIA', 'CIA']"
CIA_31,"['Boris Bugarov', 'Bugarov', 'Bugarov']","['Vector', 'Cuba', 'Moscow', 'Cuba', 'Europe', 'the Middle East', 'South America', 'Cuba']","['1950', 'around 1986', '1992', '1993']","['Saratov', 'Moscow State University', 'Bugarov']"
CIA_32,['Odeh'],"['Odeh', 'Freeport', 'Bahamas']","['25 September', '2003']","['CIA', 'the Freeport Star Hotel']"
CIA_33,"['Abdul Nasser', 'Ali al-Omari', 'Abdul Ahmed Nasser', 'Ali al Omari']","['Afghanistan', 'Al Khuldan', 'Khost']","['1999 - 2001', '12 February, 2004', 'February of 2000']","['FBI', 'DIA Report']"
CIA_34,"['Pyotr Safrygin', 'Safrygin', 'Safrygin', 'Safrygin']","['Moscow', 'Strizhi', 'Moscow', 'Africa']",['1 September'],"['Central Russia Airlines', 'Safrygin']"
CIA_35,[],"['Bucaramanga', 'Columbia']",[],"['the Center of Disease Control', 'CDC', 'CDC', 'FMD']"
CIA_36,"['Grigory Sizov', 'Boris Bugarov', 'Sizov', 'Bugarov', 'Sizov', 'Sizov', 'Bugarov', 'Castro', 'Sizov', 'Bugarov', 'Bugarov', 'Sizov', 'Bugarov', 'Sizov', 'Bugarov', 'Sizov', 'Bugarov']","['USA', 'Cuba', 'Moscow', 'Havana', 'Soviet Union', 'Cuba', 'BW']",['2002'],[]
CIA_37,"['Abdul Jabarah', 'Fahd Jehani', 'Ramzi al Shibh', 'Jehani']","['Nishtar Rd', 'Karachi', 'Kuwaiti', 'Pakistan', 'Karachi', 'Moataz', 'Pakistan']","['13 February, 2004', '17 September, 2004', '5 September, 2004', '1 October, 2004', 'ten days']","['CIA', 'Al Qaeda', 'S. H', 'Chitral']"
CIA_38,"['Ali Sufaat', 'Sufaat', 'Sufaat', 'Omar Hanif']","['Nassau', 'Bahamas', 'Nassau']",[],"['the Island Freight Lines', 'Nassau and Santo Domingo', 'the Seashore Hotel']"
CIA_39,"['Abdellah Atmani', 'Atmani', 'Atmani']","['Casablanca', 'The Dominican Republic']","['5 October, 2004', 'Later the same day']","['the Holland Orange Shipping Lines', 'Central Russia Airlines', 'the ""Dutch Courage', 'Atmani', 'Holland Orange']"
